2023-12-14 13:37:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbf5e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:37:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbee90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:37:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbd780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:37:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbf5b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbc190>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbf520>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbd2a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb166f265c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb166f26350>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbefb0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbffd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
