2023-11-20 14:44:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71866e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d4940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d51e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b7187640>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d4fd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d4790>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:44:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d5a80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d6320>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b7187700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d62c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d5a20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d47f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d4f70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d6bf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b7187a60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d49d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-20 14:45:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3b71d42e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
