2024-01-04 15:17:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affca00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5afff070>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5afff880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5a600700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5a600400>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affeef0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affc100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affc820>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5afffd90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5a600280>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5a601390>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affc940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affd000>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5a5affeb30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
