2023-11-17 08:45:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee01c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee0ee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee1780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162e938b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee11b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee0940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee2020>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee28c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162e93fa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee2560>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee1cc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee0d90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee1780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee3190>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee15a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0162ee0d60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
