2023-11-28 10:55:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f4670>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f4ee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f5780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806a7df0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f51b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f4940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f6020>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f68c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806a7cd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f6560>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:23 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f5cc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:28 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f4d90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f5780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9d806f7190>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
