2023-12-14 13:38:14 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f8520>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:19 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f8fd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:24 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f9870>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:29 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148abb80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:34 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f9300>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:39 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f8730>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:44 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148fa110>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:49 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148fa9b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:54 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148abfa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:59 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148fa4a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:04 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f80a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:09 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f9090>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:14 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f98a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:19 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148fb280>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:24 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f98a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:29 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f9090>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:34 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148f80a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:39 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe2148fa3e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
