2023-11-28 10:55:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8670>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8ee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f9780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488abb20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f91b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fa020>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fa8c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488ab7c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fa560>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:23 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f9cc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:28 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8d90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f9780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fb190>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f95a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8d60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f9cf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fa410>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488faaa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488abbe0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fac80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488fa350>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:23 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f67488f8280>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
