2023-11-13 09:20:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ec8b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:20:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ecf10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ed7b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f914539e6b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ed180>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ec940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:25:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ee080>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:25:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453eefe0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ee740>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453edd50>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f91453ecbb0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
