2023-11-28 10:55:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8520>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8f10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f97b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8abd30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f91e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:55:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fa050>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fa8f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8ab910>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fa590>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:23 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f9cf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:28 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8dc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f97b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fb1c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f95d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8d90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f9d20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:56:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fa440>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8faad0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8abfd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8facb0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8fa380>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:23 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8130>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:28 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f95a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:33 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f9ba0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:38 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8ab9a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:43 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8fa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:48 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f8bb0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8f9ed0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-28 10:57:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff70b8faa10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
