2023-11-13 09:20:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfc850>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:20:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfcf70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfd810>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dafa00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfd270>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:21:18 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfca00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:25:53 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfe0e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:25:58 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dff040>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:03 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfe410>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:08 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfded0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-13 09:26:13 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdd12dfcd30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
