2024-01-04 15:17:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef40d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef7070>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef7880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef8700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef8400>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef6ef0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef4100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef4820>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef4fd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef8280>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb9ddef9390>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
