2023-12-18 14:40:05 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef48e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:10 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef5000>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:15 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef58a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:20 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ea7dc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:25 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef51e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:30 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef4100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:35 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef6140>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:40 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef69e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:45 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ea7ac0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:50 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef6530>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:40:55 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef4550>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:00 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef4f70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:05 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef5810>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:10 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef72b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:15 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef59c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:20 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef5120>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:25 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef4490>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:30 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef6470>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:35 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef6bc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:40 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ea7ac0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-18 14:41:45 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.22', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7efb87ef6620>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
