2023-11-17 08:45:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ec7f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ecfa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ed840>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc209ece0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ed180>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ec8e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ee0e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:45:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ee980>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc209fdf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ee500>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ec6d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ecd30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ed5d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ef250>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ed450>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-11-17 08:46:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.1.104', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9fc20ed0f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
