2024-01-04 15:17:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9630>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8d90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb790>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec460>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e91b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb910>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8280>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eabc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec220>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ed360>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9780>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9420>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec3d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ecdf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129b790>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8df0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eccd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512edc30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9930>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8ee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eab30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129b8e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec4f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129bee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb160>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ea2c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9150>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ed690>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e98a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8d60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb7c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129bcd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ed8a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129bb80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e84f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9180>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8a90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eca90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eab60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e89d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb730>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb610>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129b760>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ec820>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129b610>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9090>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e9480>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ed300>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ea8f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8760>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb6d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129bd90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512edf30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f5129a6b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e8a60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512eb910>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e99c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512e81f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:22:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9f512ee500>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
