2024-01-04 15:17:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130d30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a1308b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844220>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198458a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130070>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844580>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198453c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319846230>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:17:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a1302b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a131840>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844f40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319845b70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844820>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130dc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130640>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a132ef0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844430>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319845e70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198456f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:18:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130400>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a132d70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319846410>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844b80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198464d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a131750>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130ca0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319847970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844310>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198460e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a1315d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a133010>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:19:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a132d10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319846500>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198463b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319846620>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:17 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a131750>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:22 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:27 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319845a50>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:32 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f93198460e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:37 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844dc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:42 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a131030>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:47 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a1302b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:52 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130130>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:20:57 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844100>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:02 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319844070>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:07 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9319847250>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-01-04 15:21:12 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.60', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f931a130f10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
